RA	Gabarito	AcertosConhecEspecificos	PercenConhecEspecificos	AcertosfundaGerais	PercenFundaGerais	NotasTeste	PercenTotal	ClassGeral	ClassUnidade
20846635	B	12	40	7	70	19	47,5	15	5
20862272	A	9	30	6	60	15	37,5	19	4
20661123	A	10	33,33	4	40	14	35	20	9
20644984	A	8	26,67	4	40	12	30	22	10
20873833	D	7	23,33	8	80	15	37,5	19	10
20562797	B	12	40	6	60	18	45	16	6
20445921	A	13	43,33	3	30	16	40	18	6
20853375	F	9	30	5	50	14	35	20	11
20904534	C	7	23,33	7	70	14	35	20	5
20570081	B	18	60	7	70	25	62,5	9	2
20591262	B	13	43,33	6	60	19	47,5	15	7
20891101	C	8	26,67	2	20	10	25	24	12
20866611	A	5	16,67	8	80	13	32,5	21	10
20237026	B	12	40	5	50	17	42,5	17	7
20214571	A	10	33,33	5	50	15	37,5	19	12
20774371	B	7	23,33	3	30	10	25	24	7
20774552	F	13	43,33	3	30	16	40	18	9
20854186	D	12	40	8	80	20	50	14	5
20804786	D	12	40	6	60	18	45	16	7
20558107	A	8	26,67	6	60	14	35	20	12
20745989	C	8	26,67	8	80	16	40	18	3
20761959	B	8	26,67	4	40	12	30	22	6
20274693	B	16	53,33	8	80	24	60	10	2
20911135	A	9	30	3	30	12	30	22	6
20327011	B	13	43,33	6	60	19	47,5	15	4
20883826	F	10	33,33	7	70	17	42,5	17	8
20560834	C	14	46,67	8	80	22	55	12	4
20331582	A	12	40	5	50	17	42,5	17	8
20843988	E	13	43,33	5	50	18	45	16	7
20571016	C	13	43,33	7	70	20	50	14	4
20791169	C	13	43,33	3	30	16	40	18	8
20855609	D	10	33,33	4	40	14	35	20	11
20759983	D	11	36,67	2	20	13	32,5	21	12
20678183	F	12	40	7	70	19	47,5	15	4
20522644	B	20	40	4	40	16	40	18	11
9113387	C	18	60	9	90	27	67,5	7	3
20642054	A	15	50	5	50	20	50	14	7
20761310	C	9	30	7	70	16	40	18	8
20887663	C	10	33,33	3	30	13	32,5	21	9
20867904	A	10	33,33	4	40	14	35	20	9
20639422	C	11	36,67	3	30	14	35	20	10
20852566	B	15	50	7	70	22	55	12	1
20056222	D	14	46,67	7	70	21	52,5	13	4
20096779	A	12	40	4	40	16	40	18	10
20731361	E	14	46,67	7	70	21	52,5	13	3
20886343	B	10	33,33	5	50	15	37,5	19	7
20787294	B	11	36,67	5	50	16	40	18	8
20680814	C	12	40	8	80	20	50	14	7
20903101	A	7	23,33	5	50	12	30	22	6
20885877	C	14	46,67	8	80	22	55	12	2
20193712	B	9	30	4	40	13	32,5	21	9
20771354	C	11	36,67	6	60	17	42,5	17	7
20903774	A	9	30	5	50	14	35	20	5
9110035	C	11	36,67	10	100	21	52,5	13	4
10124782	D	15	50	9	90	24	60	10	1
20700650	C	11	36,67	6	60	17	42,5	17	7
20290857	D	11	36,67	2	20	13	32,5	21	5
20477824	A	10	33,33	7	70	17	42,5	17	7
20652260	A	15	50	7	70	22	55	12	5
20474891	A	14	46,67	6	60	20	50	14	5
20652060	A	14	46,67	8	80	22	55	12	5
20668412	A	8	26,67	5	50	13	32,5	21	6
20574016	B	12	40	8	80	20	50	14	6
20885672	A	15	50	7	70	22	55	12	1
20898756	C	8	26,67	2	20	10	25	24	7
20846063	E	9	30	4	40	13	32,5	21	12
20635086	C	13	43,33	7	70	20	50	14	4
20876142	B	12	40	2	20	14	35	20	8
20696992	A	12	40	4	40	16	40	18	8
20555454	C	7	23,33	6	60	13	32,5	21	13
20894742	A	13	43,33	7	70	20	50	14	1
20751761	C	14	46,67	6	60	20	50	14	3
20755767	B	12	40	5	50	17	42,5	17	5
20774545	D	10	33,33	7	70	17	42,5	17	8
20655654	B	11	36,67	5	50	16	40	18	8
20856178	D	10	33,33	3	30	13	32,5	21	12
20201093	A	12	40	4	40	16	40	18	6
20876707	E	13	43,33	4	40	17	42,5	17	8
20765240	B	12	40	7	70	19	47,5	15	5
20665197	A	11	36,67	4	40	15	37,5	19	9
20257443	B	17	56,67	8	80	25	62,5	9	1
20827834	E	17	56,67	7	70	24	60	10	1
20712853	A	6	23,33	4	40	11	27,5	23	11
20470095	B	9	30	7	70	16	40	18	6
20869608	E	5	16,67	3	30	8	20	2	1
20909372	F	10	33,33	5	50	15	37,5	19	10
20857069	B	11	36,67	5	50	16	40	18	8
20772953	D	9	30	4	40	13	32,5	21	12
20514382	A	12	40	5	50	17	42,5	17	5
20912763	C	18	30	8	80	17	42,5	17	7
20902720	B	23	76,67	7	70	30	75	5	1
20903998	A	12	40	6	60	18	45	16	2
20723625	D	13	43,33	6	60	19	47,5	15	6
20871626	C	10	33,33	4	40	14	35	20	8
20565270	E	11	36,67	3	30	14	35	20	5
20230718	B	10	33,33	3	30	13	32,5	21	10
20866893	E	12	40	5	50	17	42,5	17	8
20747841	C	11	36,67	3	30	14	35	20	13
20733091	C	6	20	5	50	11	27,5	23	14
20717393	C	10	33,33	4	40	14	35	20	5
20324578	C	11	36,67	7	70	18	45	16	6
20546658	A	14	46,67	9	90	23	57,5	11	3
20538617	E	9	30	4	40	13	32,5	21	10
20608551	B	11	36,67	8	80	19	47,5	15	5
20203141	C	17	56,67	8	80	25	62,5	9	2
20845287	F	10	33,33	9	90	19	47,5	15	6
20314392	A	13	43,33	5	50	18	45	16	7
20853812	B	5	16,67	9	90	14	35	20	8
20618148	A	16	53,33	5	50	21	52,5	13	3
20890491	F	9	30	5	50	14	35	20	11
20906228	A	15	50	6	60	21	52,5	13	3
20328073	A	16	53,33	6	60	22	55	12	5
20758760	E	15	50	8	80	23	57,5	11	2
20224226	E	7	23,33	7	70	14	35	20	9
20467662	A	12	40	8	80	20	50	14	5
20629811	A	16	53,33	5	50	21	52,5	13	2
20442184	D	13	43,33	3	30	16	40	18	3
20554047	C	10	33,33	2	20	12	30	22	11
20500007	C	13	43,33	5	50	18	45	16	2
20440787	F	6	20	6	60	12	30	22	6
20653995	A	14	46,67	6	60	20	50	14	7
20653610	D	16	53,33	5	50	21	52,5	13	3
20454163	A	20	43,33	4	40	17	42,5	17	7
20723369	C	15	50	7	70	22	55	12	5
20869859	A	10	33,33	7	70	17	42,5	17	5
20667541	B	14	46,67	6	60	20	50	14	7
20604501	B	13	43,33	9	90	22	55	12	2
20684091	A	17	56,67	6	60	23	57,5	11	4
20370923	A	13	43,33	4	40	17	42,5	17	8
20756218	B	6	20	5	50	11	27,5	23	11
20311674	B	14	46,67	3	30	17	42,5	17	8
20548782	A	16	53,33	10	100	26	65	8	1
20876993	D	10	33,33	3	30	13	32,5	21	12
20883036	F	15	50	6	60	21	52,5	13	4
20680332	E	11	36,67	5	50	16	40	18	7
20373356	C	22	73,33	8	80	30	75	5	1
20621695	B	7	23,33	5	50	12	30	22	11
20656776	E	10	33,33	4	40	14	35	20	9
20879993	F	6	20	5	50	11	27,5	23	14
20644714	F	13	43,33	6	60	19	47,5	15	1
20881692	B	11	36,67	5	50	16	40	18	8
20880490	A	10	33,33	6	60	16	40	18	6
20912596	E	9	30	7	70	16	40	18	6
20870558	C	8	26,67	6	60	14	35	20	9
20532946	B	6	20	6	60	12	30	22	15
20630918	A	17	56,67	7	70	24	60	10	1
20604161	C	14	46,67	5	50	19	47,5	15	6
20448965	B	9	30	4	40	13	32,5	21	10
20892222	B	12	40	8	80	20	50	14	1
20420010	B	8	26,67	5	50	13	32,5	21	9
20917394	C	10	33,33	6	60	16	40	18	3
20602854	A	13	43,33	6	60	19	47,5	15	5
20527538	B	15	50	6	60	21	52,5	13	6
20850860	D	8	26,67	7	70	15	37,5	19	10
20778802	F	9	30	3	30	12	30	22	13
20866590	C	15	50	6	60	21	52,5	13	2
20747088	B	20	66,67	4	40	24	60	10	2
20778076	D	9	30	7	70	16	40	18	9
20875255	F	8	26,67	6	60	14	35	20	11
20873301	D	8	26,67	0	0	8	20	2	2
20338220	B	11	36,67	5	50	16	40	18	6
20537088	E	13	43,33	6	60	19	47,5	15	4
20731465	F	11	36,67	6	60	17	42,5	17	6
20883468	C	13	43,33	7	70	20	50	14	4
20763844	F	11	36,67	4	40	15	37,5	19	10
20712233	D	13	43,33	6	60	19	47,5	15	4
20744719	C	9	30	7	70	16	40	18	11
20405940	B	15	50	7	70	22	55	12	1
20518967	E	6	20	6	60	12	30	22	9
20649347	D	15	50	2	20	17	42,5	17	6
20614472	C	13	43,33	5	50	18	45	16	6
20886283	D	14	46,67	8	80	22	55	12	3
20872376	E	9	30	5	50	14	35	20	9
20737322	A	10	33,33	7	70	17	42,5	17	8
20778218	D	11	36,67	6	60	17	42,5	17	5
20624841	B	11	36,67	6	60	17	42,5	17	9
20367378	C	10	33,33	6	60	16	40	18	9
20828084	E	10	33,33	4	40	14	35	20	5
20752411	C	20	66,67	9	90	29	72,5	6	2
20419510	B	12	40	7	70	19	47,5	15	6
20730403	F	12	40	6	60	18	45	16	5
20709988	B	11	36,67	6	60	17	42,5	17	7
20891336	E	11	36,67	3	30	14	35	20	11
20552167	A	13	43,33	9	90	22	55	12	4
20628077	C	11	36,67	6	60	17	42,5	17	9
20615382	B	11	36,67	7	70	18	45	16	8
20185146	A	12	40	5	50	17	42,5	17	7
20661751	A	14	46,67	3	30	17	42,5	17	10
20849220	A	13	43,33	5	50	18	45	16	6
20761997	F	6	20	2	20	8	20	2	2
20637415	A	10	33,33	5	50	15	37,5	19	11
20743623	C	16	53,33	3	30	19	47,5	15	5
20681493	C	10	33,33	4	40	14	35	20	13
20910982	B	8	26,67	6	60	14	35	20	5
20550774	B	11	36,67	6	60	17	42,5	17	1
20710353	C	8	26,67	6	60	14	35	20	2
20583564	C	17	56,67	7	70	24	60	13	7
20801005	K	8	26,67	9	90	17	42,5	20	8
20861100	A	6	20	6	60	12	30	25	18
20951855	J	10	33,33	4	40	14	35	23	11
20628901	L	9	30	7	70	16	40	21	6
20843993	J	10	33,33	9	90	19	47,5	18	6
20755671	J	10	33,33	9	90	19	47,5	18	3
20582645	B	17	56,67	9	90	26	65	11	5
20885720	C	8	26,67	5	50	13	32,5	24	12
20138876	A	12	40	9	90	21	52,5	16	2
20999778	B	8	26,67	4	40	12	30	25	12
20694781	B	13	43,33	10	100	23	57,5	14	5
20477418	A	15	50	7	70	22	55	15	7
20977374	J	5	16,67	6	60	11	27,5	26	14
20283054	A	12	40	9	90	21	52,5	16	7
20657496	B	17	56,67	8	80	25	62,5	12	3
20555078	A	21	70	8	80	29	72,5	8	3
20871714	J	12	40	7	70	19	47,5	18	6
20485676	B	24	80	10	100	34	85	4	1
20352167	L	8	26,67	8	80	16	40	21	6
20593506	B	17	56,67	8	80	25	62,5	12	3
20675463	C	15	50	5	50	20	50	17	9
20872960	K	13	43,33	4	40	17	42,5	20	4
20710838	B	6	20	9	90	15	37,5	22	9
20622954	A	13	43,33	10	100	23	57,5	14	8
20761390	J	8	26,67	8	80	16	40	21	9
20944001	B	14	46,67	5	50	19	47,5	18	5
20760846	J	15	50	5	50	20	50	17	5
20752971	A	15	50	8	80	23	57,5	14	5
21013268	A	13	43,33	9	90	22	55	15	2
20977703	L	6	20	9	90	15	37,5	22	10
20744029	C	15	50	8	80	23	57,5	14	5
20989378	K	12	40	5	50	17	42,5	20	8
20826888	C	16	53,33	8	80	24	60	13	6
20942607	L	7	23,33	7	70	14	35	23	9
20575540	C	17	56,67	8	80	25	62,5	12	6
8112767	K	15	50	7	70	22	55	15	3
20866183	A	15	50	7	70	22	55	15	4
20379782	B	6	20	3	30	9	22,5	1	1
20950889	C	8	26,67	6	60	14	35	23	16
20726379	B	16	53,33	9	90	25	62,5	12	3
20551765	C	15	50	9	90	24	60	13	5
21009648	J	8	26,67	9	90	17	42,5	20	8
20960594	K	12	40	5	50	17	42,5	20	8
20912838	B	14	46,67	6	60	20	50	17	6
20730276	C	18	60	8	80	26	65	11	5
20683246	A	9	30	6	60	15	37,5	22	15
20648159	B	12	40	5	50	17	42,5	20	12
20720524	A	9	30	8	80	17	42,5	20	6
21022551	B	17	56,67	9	90	26	65	11	4
20933365	J	9	30	6	60	15	37,5	22	10
20905364	A	17	56,67	9	90	26	65	11	2
20402952	B	14	46,67	7	70	21	52,5	16	5
20412899	A	18	60	10	100	28	70	9	3
21006535	A	10	33,33	8	80	18	45	19	6
20938989	A	14	46,67	7	70	21	52,5	16	9
21022344	K	12	40	4	40	16	40	21	6
20948293	L	11	36,67	5	50	16	40	21	9
21007438	A	17	56,67	8	80	25	62,5	12	5
20371677	C	9	30	5	50	14	35	23	12
20436987	C	15	50	7	70	22	55	15	9
20553630	C	19	63,33	7	70	26	65	11	5
20906283	C	19	63,33	10	100	29	72,5	8	1
20766352	B	10	33,33	7	70	17	42,5	20	9
20752309	B	8	26,67	6	60	14	35	23	10
20856037	B	16	53,33	8	80	24	60	13	4
20761070	B	13	43,33	5	50	18	45	19	11
20752331	C	4	13,33	3	30	7	17,5	3	1
20955910	L	3	10	7	70	10	25	27	15
20675223	A	11	36,67	8	80	19	47,5	18	10
20699796	J	10	33,33	5	50	15	37,5	22	7
20714785	A	11	36,67	9	90	20	50	17	9
20823155	J	9	30	7	70	16	40	21	9
21010567	L	11	36,67	4	40	15	37,5	22	10
20986603	B	8	26,67	6	60	14	35	23	10
20868392	C	15	50	10	100	25	62,5	12	5
21010821	B	8	26,67	7	70	15	37,5	22	15
20569500	J	10	33,33	4	40	14	35	23	8
20679850	A	12	40	9	90	21	52,5	16	5
21000468	C	7	23,33	3	30	10	25	27	14
20753127	C	20	66,67	8	80	28	70	9	2
20965381	C	13	43,33	10	100	23	57,5	14	7
20897970	L	8	26,67	7	70	15	37,5	22	6
20874170	L	11	36,67	8	80	19	47,5	18	2
20891341	A	14	46,67	8	80	22	55	15	4
21020533	C	13	43,33	10	100	23	57,5	14	1
21022827	B	9	30	9	90	18	45	19	12
20718683	L	8	26,67	6	60	14	35	23	7
20781288	J	6	20	7	70	13	32,5	24	10
20947993	B	11	36,67	9	90	20	50	17	10
20749930	C	20	66,67	9	90	29	72,5	8	3
20717068	A	16	53,33	7	70	23	57,5	14	7
20967548	L	4	13,33	3	30	7	17,5	3	3
20742362	A	9	30	8	80	17	42,5	20	6
20987488	C	13	43,33	6	60	19	47,5	18	5
20072426	A	12	40	8	80	20	50	17	9
20667684	C	7	23,33	10	100	17	42,5	20	10
20560403	A	15	50	10	100	25	62,5	12	6
20776878	C	11	36,67	8	80	19	47,5	18	11
20617664	B	8	26,67	7	70	15	37,5	22	13
20615248	C	16	53,33	6	60	22	55	15	6
20168335	A	18	60	9	90	27	67,5	10	1
20960550	K	6	20	3	30	9	22,5	1	1
20850474	L	8	26,67	5	50	13	32,5	24	12
21022314	C	5	16,67	6	60	11	27,5	26	13
20612310	A	22	73,33	10	100	32	80	5	1
20955361	L	9	30	6	60	15	37,5	22	10
20149400	B	18	60	9	90	27	67,5	10	3
10107918	A	17	56,67	7	70	24	60	13	4
20417059	C	21	70	10	100	31	77,5	6	1
21014228	A	7	23,33	7	70	14	35	23	10
20758621	L	11	36,67	5	50	16	40	21	9
20935808	L	9	30	6	60	15	37,5	22	8
20564624	B	11	36,67	8	80	19	47,5	18	10
20181016	A	14	46,67	6	60	20	50	17	6
21019287	C	10	33,33	8	80	18	45	19	3
20721444	B	14	46,67	8	80	22	55	15	7
20746753	C	15	50	7	70	22	55	15	8
20916833	L	7	23,33	7	70	14	35	23	11
21018532	C	18	60	10	100	28	70	9	3
20584185	B	18	60	9	90	27	67,5	10	3
20943431	J	5	16,67	3	30	8	20	2	2
20758902	K	6	20	4	40	10	25	27	14
20551113	C	18	60	10	100	28	70	9	2
20885229	K	6	20	3	30	9	22,5	1	1
20252534	B	8	26,67	2	20	10	25	27	14
20550774	A	15	50	6	60	21	52,5	16	4
20747350	L	6	20	7	70	13	32,5	24	12
20976508	C	12	40	8	80	20	50	17	10
20593513	B	18	60	8	80	26	65	11	5
20962968	J	4	13,33	4	40	8	20	2	2
20912563	K	7	23,33	7	70	14	35	23	7
20574064	A	16	53,33	5	50	21	52,5	16	7
21021724	B	17	56,67	8	80	25	62,5	12	5
20738117	K	6	20	7	70	13	32,5	24	9
20984496	J	7	23,33	3	30	10	25	27	15
20926087	A	9	30	2	20	11	27,5	26	19
20920397	K	8	26,67	9	90	17	42,5	20	8
21011382	K	8	26,67	6	60	14	35	23	11
21022944	C	14	46,67	8	80	22	55	15	2
20701501	A	7	23,33	7	70	14	35	23	10
21005497	A	7	23,33	3	30	10	25	27	20
20902917	J	9	30	7	70	16	40	21	5
20731964	A	14	46,67	5	50	19	47,5	18	10
21004277	A	16	53,33	9	90	25	62,5	12	3
20532195	C	12	40	5	50	17	42,5	20	9
20170120	C	20	66,67	8	80	28	70	9	2
20779660	A	20	66,67	8	80	28	70	9	4
20517534	B	19	63,33	10	100	29	72,5	8	2
20964343	E	1	3,33	6	60	7	17,5	3	2
20643477	J	10	33,33	8	80	18	45	19	3
20944972	A	11	36,67	9	90	20	50	17	5
20867554	K	8	26,67	5	50	13	32,5	24	12
20995435	C	8	26,67	5	50	13	32,5	24	11
20677729	B	8	26,67	6	60	14	35	23	14
20941508	J	9	30	6	60	15	37,5	22	8
20910414	C	12	40	9	90	21	52,5	16	6
20767223	C	13	43,33	10	100	23	57,5	14	5
20926206	B	16	53,33	7	70	23	57,5	14	7
20986244	A	12	40	8	80	20	50	17	4
20513095	C	9	30	6	60	15	37,5	22	13
20763799	L	12	40	3	30	15	37,5	22	10
20964826	A	12	40	4	40	16	40	21	14
20728744	K	9	30	9	90	18	45	19	4
21021373	A	14	46,67	9	90	23	57,5	14	7
20848121	K	10	33,33	6	60	16	40	21	9
20545413	C	21	70	9	90	30	75	7	2
21010742	C	6	20	7	70	13	32,5	24	17
20996398	K	7	23,33	7	70	14	35	23	11
20699695	J	11	36,67	3	30	14	35	23	7
20984415	B	7	23,33	7	70	14	35	23	16
21002519	K	10	33,33	8	80	18	45	19	7
21009533	A	8	26,67	3	30	11	27,5	26	12
20662992	B	7	23,33	5	50	12	30	25	12
20916352	B	15	50	9	90	24	60	13	6
20682104	A	14	46,67	8	80	22	55	15	6
20887408	C	21	70	10	100	31	77,5	6	2
20951323	A	12	40	9	90	21	52,5	16	3
20441043	C	11	36,67	7	70	18	45	19	13
20969513	J	14	46,67	6	60	20	50	17	5
20745278	L	9	30	6	60	15	37,5	22	6
20965981	C	8	26,67	6	60	14	35	23	10
21012571	C	8	26,67	6	60	14	35	23	10
20900250	K	9	30	6	60	15	37,5	22	10
20898284	C	15	50	9	90	24	60	13	4
20359448	C	13	43,33	6	60	19	47,5	18	7
20913405	J	9	30	8	80	17	42,5	20	4
20940095	B	10	33,33	8	80	18	45	19	6
20687136	A	15	50	8	80	23	57,5	14	7
21005402	L	5	16,67	7	70	12	30	25	13
20710353	A	13	43,33	8	80	21	52,5	16	7
20952826	K	4	13,33	4	40	8	20	2	2
20646005	J	14	46,67	5	50	19	47,5	18	2
20918182	L	4	13,33	5	50	9	22,5	1	1
20960071	B	12	40	7	70	19	47,5	18	11
21022775	A	13	43,33	8	80	21	52,5	16	3
20935142	J	11	36,67	7	70	18	45	19	7
20331497	C	18	60	8	80	26	65	11	5
20668141	L	11	36,67	9	90	20	50	17	5
20805744	L	9	30	4	40	13	32,5	24	12
20846635	C	16	53,33	6	60	22	55	15	8
20862272	C	11	36,67	7	70	18	45	19	7
21014892	C	9	30	5	50	14	35	23	10
20907030	B	8	26,67	8	80	16	40	21	14
20980842	D	9	30	8	80	17	42,5	20	8
20661123	B	9	30	4	40	13	32,5	24	14
20644984	B	15	50	4	40	19	47,5	18	7
20873833	L	10	33,33	8	80	18	45	19	7
20562797	A	14	46,67	10	100	24	60	13	7
21023224	B	10	33,33	6	60	16	40	21	8
20934388	B	10	33,33	7	70	17	42,5	20	7
20853375	J	11	36,67	6	60	17	42,5	20	8
20999574	B	10	33,33	7	70	17	42,5	20	7
21018868	K	13	43,33	4	40	17	42,5	20	5
20570081	C	18	60	10	100	28	70	9	2
20591262	C	9	30	8	80	17	42,5	20	10
20891101	A	14	46,67	7	70	21	52,5	16	5
20774371	C	10	33,33	8	80	18	45	19	8
20933286	K	11	36,67	6	60	17	42,5	20	8
20774552	J	10	33,33	7	70	17	42,5	20	8
20723088	C	19	63,33	10	100	29	72,5	8	2
20854186	L	11	36,67	9	90	20	50	17	5
20964741	A	7	23,33	7	70	14	35	23	10
20804786	J	11	36,67	6	60	17	42,5	20	8
20558107	B	18	60	8	80	26	65	11	4
20745989	C	16	53,33	7	70	23	57,5	14	3
20761959	A	12	40	5	50	17	42,5	20	8
20911135	B	12	40	9	90	21	52,5	16	5
20932056	K	7	23,33	7	70	14	35	23	9
20960826	L	12	40	7	70	19	47,5	18	6
20993822	J	9	30	6	60	15	37,5	22	10
